Species, Module #, Module name,,,,,,,,,,,,,,,,,,,,,,,
Calephelis perditalis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Calephelis virginiensis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Caleta caleta,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caligo eurilochus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Calinaga sudassana,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Calleagris jamesoni,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Callerebia annada,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Callicore astarte,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Callithomia lenea,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Callophrys rubi,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Calpodes ethlius,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caltoris cormasa,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Calycopis cecrops,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Calydna sturnula,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Candalides albosericea,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Candalides xanthospilos,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caprona pillaana,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Capronnieria galesus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Capys alpheus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Carcharodus alceae,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caria ino,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Caria mantinea,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Carrhenes canescens,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Carterocephalus palaemon,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Carystus phorcus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cassionympha cassius,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Castalius rosimon,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Catacroptera cloanthe,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Catapaecilma elegans,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Catapaecilma major,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Catasticta nimbice,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Catochrysops strabo,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Catonephele numilia,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Catopsilia scylla,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Catopyrops ancyra,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus bathyllus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus casica,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus confusis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus dorantes,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus doryssus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus lyciades,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Cecropterus toxeus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Celaenorrhinus leucocera,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Celaenorrhinus patula,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Celastrina argiolus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Celotes nessus,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cephrenes augiades,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cepora nerissa,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ceratinia neso,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ceratrichia phocion,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cerautola ceraunia,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cercyonis oetus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cercyonis pegala,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cethosia biblis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Cethosia cydippe,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Chaetocneme critomedia,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chaetoprocta odata,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Chalinga elwesi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chalodeta lypera,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Chalybs janias,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charana mandarinus,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes bernardus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes brutus,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes contrarius,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes jasius,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes varanes,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charaxes zoolina,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Charis anius,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Chazara briseis,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cheritra freja,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chersonesia rahria,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chilades lajus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Chillanella stelligera,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chioides albofasciatus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chioides catillus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chiomara georgina,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chiomara mithrax,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chiothion asychis,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chitoria chrysolora,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chloroselas esmeralda,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chloroselas pseudozeritis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chlorostrymon simaethis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Chlosyne janais,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Choaspes benjaminii,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Chondrolepis niveicornis,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Choranthus haitensis,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Choranthus radians,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chorinea licursis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chrysoritis oreas,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chrysozephyrus ataxus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Chrysozephyrus smaragdina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cigaritis somalina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cigaritis takanonis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cigaritis zohra,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Cirrochroa aoris,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cirrochroa orissa,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia confusa,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia eous,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia labe,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia myncea,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia palladia,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia penelope,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cissia rubricata,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Citrinophila erastus,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cobalus calvina,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Codatractus alcaeus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Codatractus arizonensis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Coeliades forestan,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
