Unique.ID,X,Book,Page.Number,Taxon,Family,Subfamily.or.Tribe,Genus,Genus.2,Species.Epithet,Subspecies,Authority,Common.name,Wing.Size,Wingspan..F.,Wingspan..M.,Wingspan..U.,Forewing.Length..F.,Forewing.Length..M.,Forewing.Length..U.,Distribution.Range,Elevation,Abundance,Flight.characteristics,Habitat,Oviposition,Hostplant.larval.food,Adult.food,Phenology.and.voltinism,Daily.or.circadian.patterns,Diapause,Mimicry,Defense.strategies,Adult.forms,Ant.associations,Mobility,Trait.Availability.and.Format.Comments,Flag.for.QA,QA.Comments,Author,Lab,Created,Updated,Additional.Data,Full.Species.Account,sp_ID
NA,NA,NA,NA,NA,NA,NA,Dichorragia,NA,nesimachus,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Colias,NA,eurytheme,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Hylephila,NA,phyleus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Epargyreus,NA,clarus,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Ypthima,NA,baldus,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Papilio,NA,xuthus,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Ideopsis,NA,vitrea,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Poanes,NA,zabulon,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Tagiades,NA,trebellius,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Satyrus,NA,ferula,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Melitaea,NA,didyma,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Lerema,NA,accius,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Parnassius,NA,apollo,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Maniola,NA,jurtina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Megathymus,NA,yuccae,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Acleros,NA,mackenii,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Lethe,NA,mekara,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Cymothoe,NA,lurida,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Leptidea,NA,sinapis,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Cymaenes,NA,tripunctus,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Eurytides,NA,marcellus,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,Melanargia,NA,galathea,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Helicopis,NA,cupido,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Spialia,NA,dromus,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Teinopalpus,NA,imperialis,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Erebia,NA,ligea,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Nymphalis,NA,xanthomelas,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Bebearia,NA,sophus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Thymelicus,NA,sylvestris,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Palla,NA,ussheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Cyrestis,NA,nivea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,Biblis,NA,hyperia,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
NA,NA,NA,NA,NA,NA,NA,Thyridia,NA,psidii,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1
