"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Bibasis sena"	3	244.032138666667	258.936642774411	56.2243532114948	33	-0.265089827742064	0.33	99
"Biblis hyperia"	2	231.572149	267.282107959596	95.8372879196019	13	-0.372610282853091	0.13	99
"Bicyclus anynana"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Bindahara phocides"	3	242.1698	278.331540228956	84.4069113851179	26	-0.428421555007072	0.26	99
"Boloria pales"	3	236.140604	270.834478915825	73.3338189528777	14	-0.473095161430475	0.14	99
"Borbo borbonica"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Borbo cinnara"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Brassolis sophorae"	3	169.786186666667	260.187214397306	49.1376768855351	2	-1.83974972893461	0.02	99
"Brenthis daphne"	2	231.572226	276.198308232323	108.834693456262	14	-0.410035447476657	0.14	99
"Brenthis ino"	5	230.2812996	272.720858929293	58.3897463277652	5	-0.726832397782011	0.05	99
"Brephidium exilis"	3	218.39968	272.07495186532	78.0005379769177	8	-0.688139764897566	0.08	99
"Brevioleria arzalia"	2	79.32	268.01839449495	81.1064053107809	1	-2.32655354126349	0.01	99
"Brintesia circe"	2	187.64298	258.536289272727	61.371363226139	3	-1.15515291735499	0.03	99
"Bungalotis astylos"	2	93.3981	268.114352575758	92.1242573409618	1	-1.89652820677961	0.01	99
"Bungalotis erythus"	2	120	263.631377393939	70.8778698417308	1	-2.02646295260659	0.01	99
"Burara harisa"	3	252.172473333333	258.362927461279	39.5575366775903	40	-0.156492406956499	0.4	99
"Burara oedipodea"	2	237.158208	259.595497606061	73.2418756191732	18	-0.306345098570728	0.18	99
"Burmaozephyrus kothayaungi"	2	80.4628	270.421553777778	92.3463662867055	1	-2.05702467152868	0.01	99
"Butleria flavomaculatus"	2	95.4795	273.498210636364	88.9901911768869	1	-2.00043070232891	0.01	99
"Byblia anvatara"	2	247.468941	281.464029474748	103.442138765712	35	-0.32863868516624	0.35	99
"Byblia ilithyia"	2	123.7924	272.66423120202	91.8816059900887	2	-1.62025717332454	0.02	99
"Cabares potrillo"	2	61.1816	261.146763272727	59.1877923191584	1	-3.37848660065669	0.01	99
