"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Arrhenes dschilus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Arrhenes marnas"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Arteurotia tractipennis"	2	123.7924	279.661954848485	101.244015384342	1	-1.53954339184171	0.01	99
"Artipe eryx"	2	247.469313	271.199168	101.109201768436	52	-0.234695305520729	0.52	99
"Artitropa comus"	2	135.10077	267.288595363636	81.7785923875625	1	-1.61641111083419	0.01	99
"Artitropa erinnys"	2	135.10077	267.288595363636	81.7785923875625	1	-1.61641111083419	0.01	99
"Artopoetes pryeri"	2	64.188	290.286765141414	116.824273417175	1	-1.93537488852187	0.01	99
"Asbolis capucinus"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Ascia monuste"	7	136.973429714286	234.858494088023	29.8440646175016	1	-3.27988381034177	0.01	99
"Aslauga marshalli"	0	NA	NA	NA	NA	NA	NA	99
"Aspitha aspitha"	2	121.5324	275.348022080808	97.6630343911144	1	-1.57496255404903	0.01	99
"Asterocampa celtis"	2	142.37061	276.649533787879	96.9106136164264	1	-1.38559564094142	0.01	99
"Asterope markii"	2	121.5324	275.348022080808	97.6630343911144	1	-1.57496255404903	0.01	99
"Astictopterus jama"	2	213.46856	273.119646070707	109.774886232792	10	-0.543394651707577	0.1	99
"Astraptes alector"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Astraptes anaphus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Astraptes enotrus"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Astraptes talus"	3	184.583927333333	253.776226585859	44.0088118529292	2	-1.57223738472548	0.02	99
"Atalopedes campestris"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Atarnes sallei"	2	142.4068	259.800435919192	73.6254897589177	2	-1.59447001715833	0.02	99
"Aterica rabena"	2	141.4902	264.484822181818	83.4525150449738	2	-1.47382762659142	0.02	99
"Athyma perius"	2	189.82324	288.291448919192	117.130765352615	4	-0.840669047305888	0.04	99
"Atlantea perezi"	2	69.4758	254.682101676768	45.778500090804	1	-4.04570489005541	0.01	99
"Atlides halesus"	2	162.945367	277.17180150505	97.2835758998758	2	-1.17415949658977	0.02	99
