ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Catapaecilma major	3	207.905091	244.459929144781	41.2483114140282	16	-0.886214171966059	0.16	99
Catasticta nimbice	2	159.8647	271.582392525253	92.3542628133406	3	-1.2096647098039	0.03	99
Catochrysops strabo	2	237.158162	284.093235535354	110.390606941919	14	-0.425172710211188	0.14	99
Catonephele numilia	3	250.421731666667	246.384667690236	47.5885891847788	70	0.0848326047396721	0.7	99
Catopsilia scylla	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Catopyrops ancyra	4	187.71296125	238.459889611111	40.8633169647119	7	-1.24187002256656	0.07	99
Celaenorrhinus aurivittata	2	64.188	289.878749757576	131.979746969317	1	-1.71004078231825	0.01	99
Celaenorrhinus leucocera	2	69.4758	285.476807656566	118.612008623733	1	-1.82107199905682	0.01	99
Celaenorrhinus patula	1	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	7	206.551495714286	236.107194594517	30.4439259811881	12	-0.97082416040868	0.12	99
Celotes nessus	2	76.7222	271.933331090909	101.975935652234	2.5	-1.91428624647909	0.025	99
Cephrenes augiades	2	99.1432	274.820330030303	99.5868342410952	2	-1.7640597913274	0.02	99
Cepora nerissa	1	NA	NA	NA	NA	NA	NA	99
Ceratinia neso	2	79.32	269.969954939394	91.3502605590259	1	-2.08702146849604	0.01	99
Ceratrichia phocion	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Cercyonis pegala	2	266.350904	254.738538888889	46.0813992084052	65	0.251996799372208	0.65	99
Cethosia biblis	2	116.5963	273.200632525253	100.234797064402	2	-1.56237491481758	0.02	99
Cethosia cydippe	1	NA	NA	NA	NA	NA	NA	99
Chaetocneme critomedia	5	242.6957316	246.068558783838	45.2736214628979	59	-0.0744987274013951	0.59	99
Chaetoprocta odata	2	100.4022	283.786753242424	118.89434550753	1	-1.54241610448001	0.01	99
Chalinga elwesi	2	83.3911	262.725917636364	71.4500113718373	1	-2.5099340670931	0.01	99
Chalodeta lypera	2	237.158219	278.192688717172	106.153652063067	19	-0.386557305563003	0.19	99
Chalybs janias	0	NA	NA	NA	NA	NA	NA	99
Charana mandarinus	2	94.848	281.375106515152	105.471554602688	1	-1.7685062784729	0.01	99
Charaxes bernardus	4	242.81751475	250.040511830808	45.8436747901452	60	-0.157557113688468	0.6	99
Charaxes brutus	4	190.56728175	249.178056858586	42.0349099546083	4	-1.39433568840464	0.04	99
Charaxes contrarius	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Charaxes jasius	8	225.905290625	230.330580353535	31.9827254572191	49	-0.138364997518887	0.49	99
Charaxes varanes	2	159.835279	274.467490565657	108.88213242258	4	-1.05281012609819	0.04	99
Charaxes zoolina	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Charis anius	2	90.5191	261.019217141414	59.4508208023824	1	-2.86791863998254	0.01	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	3	248.713826333333	258.532979585859	51.8505694961189	60	-0.189374067593611	0.6	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	3	217.634851	258.127447936027	49.4105115926839	13	-0.819513816611092	0.13	99
Chillanella stelligera	1	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Chioides catillus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Chiomara asychis	1	NA	NA	NA	NA	NA	NA	99
Chiomara georgina	2	102.661	267.565813969697	92.1024450082104	1	-1.7904499055915	0.01	99
Chiomara mithrax	2	142	253.116451929293	49.9352335991832	3	-2.22521141727693	0.03	99
Chitoria chrysolora	2	142.37061	272.250230737374	99.498092996528	2	-1.30534783960036	0.02	99
Chloreuptychia arnaca	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Chloroselas esmeralda	1	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Chlorostrymon simaethis	2	247.469212	273.366194969697	99.3525900456249	41	-0.260657351336331	0.41	99
Chlosyne janais	2	69.4758	285.476807656566	118.612008623733	1	-1.82107199905682	0.01	99
Choaspes benjaminii	2	136.383	276.150701121212	97.0496194045029	1	-1.44016743165844	0.01	99
Chondrolepis niveicornis	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Choranthus haitensis	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Choranthus radians	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Chorinea licursis	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	1	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Chrysozephyrus smaragdina	2	222.29704	282.748760060606	103.846293864464	5	-0.58212688976176	0.05	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	2	237.157303	280.478230171717	105.240610464147	14	-0.41163698101576	0.14	99
Cirrochroa aoris	2	129.876	261.618083878788	73.7158381840657	2	-1.7871611735572	0.02	99
Cirrochroa orissa	1	NA	NA	NA	NA	NA	NA	99
Cissia confusa	4	199.184935	245.869640984849	41.2721744676846	8	-1.13114238798835	0.08	99
Cissia labe	1	NA	NA	NA	NA	NA	NA	99
Cissia myncea	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
