ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Carterocephalus palaemon	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Carystus phorcus	1	NA	NA	NA	NA	NA	NA	99
Cassionympha cassius	2	187.64298	270.25328830303	80.2568570238255	2	-1.02932399007983	0.02	99
Castalius rosimon	2	102.7964	270.617828030303	91.6822200063042	2	-1.8304686341448	0.02	99
Catacroptera cloanthe	2	174.33691	264.255408262626	71.1135343688358	2	-1.26443579356156	0.02	99
Catapaecilma elegans	1	NA	NA	NA	NA	NA	NA	99
Catapaecilma major	3	222.531608666667	274.802884855219	77.9366541087907	9	-0.670689251242264	0.09	99
Catasticta nimbice	2	159.8647	259.642091888889	59.1391929729983	1	-1.6871618781549	0.01	99
Catochrysops strabo	2	237.158162	277.552869191919	96.6753555453195	21	-0.417838723882251	0.21	99
Catonephele numilia	3	260.262445333333	278.879360545455	85.8569758862558	65	-0.216836372582993	0.65	99
Catopsilia scylla	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Catopyrops ancyra	4	215.4103025	272.246063734007	60.9119571214771	1	-0.933080529996086	0.01	99
Celaenorrhinus aurivittata	2	64.188	267.41242159596	94.4946145165471	1	-2.15064554351267	0.01	99
Celaenorrhinus leucocera	2	69.4758	265.951632868687	70.6843324752514	1	-2.7796235175239	0.01	99
Celaenorrhinus patula	1	NA	NA	NA	NA	NA	NA	99
Celastrina argiolus	7	230.436180952381	268.120781638288	43.4088281960751	4	-0.868132180755665	0.04	99
Celotes nessus	2	76.7222	285.527610707071	110.206080678118	1	-1.89468139527558	0.01	99
Cephrenes augiades	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Cepora nerissa	1	NA	NA	NA	NA	NA	NA	99
Ceratinia neso	2	79.32	266.343366131313	87.1968969782647	1	-2.14483969742561	0.01	99
Ceratrichia phocion	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Cerautola ceraunia	0	NA	NA	NA	NA	NA	NA	99
Cercyonis oetus	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Cercyonis pegala	2	266.350904	287.362858838384	116.946624067838	61	-0.179671324468462	0.61	99
Cethosia biblis	2	116.5963	278.761845919192	105.6259293437	1	-1.53528160108789	0.01	99
Cethosia cydippe	1	NA	NA	NA	NA	NA	NA	99
Chaetocneme critomedia	5	259.3427698	277.644276290909	64.6675458733036	65	-0.28300913918653	0.65	99
Chaetoprocta odata	2	100.4022	271.852367151515	98.9826108368468	1	-1.73212411454894	0.01	99
Chalinga elwesi	2	83.3911	265.04523740404	59.1276888694422	1	-3.07223469879137	0.01	99
Chalodeta lypera	2	237.158219	270.62218820202	100.358572785016	28	-0.333444052395059	0.28	99
Chalybs janias	0	NA	NA	NA	NA	NA	NA	99
Charana mandarinus	2	94.848	260.607247878788	74.3225864826048	1	-2.23026748292168	0.01	99
Charaxes bernardus	4	253.346375166667	274.6633233367	63.49144350231	36	-0.335745212175844	0.36	99
Charaxes brutus	4	214.467745	267.318031808081	59.8088907759953	1	-0.883652683110664	0.01	99
Charaxes contrarius	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Charaxes jasius	8	246.825869214286	268.018070121934	39.9969045192859	22	-0.529846025895064	0.22	99
Charaxes varanes	2	159.835279	261.560755636364	72.4309682133557	2	-1.40444728471276	0.02	99
Charaxes zoolina	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Charis anius	2	90.5191	267.453046525253	81.4769278374603	1	-2.17158343130243	0.01	99
Chazara briseis	1	NA	NA	NA	NA	NA	NA	99
Cheritra freja	3	260.269604666667	277.932053010101	80.8339896172228	58	-0.218502741570374	0.58	99
Chersonesia rahria	1	NA	NA	NA	NA	NA	NA	99
Chilades lajus	3	227.324608666667	272.588079468013	73.5080537233474	7	-0.615762062912167	0.07	99
Chillanella stelligera	1	NA	NA	NA	NA	NA	NA	99
Chioides albofasciatus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Chioides catillus	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Chiomara asychis	1	NA	NA	NA	NA	NA	NA	99
Chiomara georgina	2	102.661	248.320389232323	24.9663339635892	2	-5.83423218822405	0.02	99
Chiomara mithrax	2	142	278.301364242424	105.812305121279	1	-1.28814284960714	0.01	99
Chitoria chrysolora	2	142.37061	281.993212050505	111.639378226832	1	-1.25065728838811	0.01	99
Chloreuptychia arnaca	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Chloroselas esmeralda	1	NA	NA	NA	NA	NA	NA	99
Chloroselas pseudozeritis	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Chlorostrymon simaethis	2	247.469212	261.540028535354	72.7030685915306	48	-0.193538138182418	0.48	99
Chlosyne janais	2	69.4758	265.951632868687	70.6843324752514	1	-2.7796235175239	0.01	99
Choaspes benjaminii	2	136.383	277.852862808081	105.870927181023	2	-1.33624845436735	0.02	99
Chondrolepis niveicornis	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Choranthus haitensis	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Choranthus radians	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Chorinea licursis	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum perniciosus	1	NA	NA	NA	NA	NA	NA	99
Chrysoplectrum pervivax	1	NA	NA	NA	NA	NA	NA	99
Chrysoritis oreas	1	NA	NA	NA	NA	NA	NA	99
Chrysozephyrus ataxus	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Chrysozephyrus smaragdina	2	222.29704	263.409772171717	84.6263528387023	10	-0.485814770371565	0.1	99
Cigaritis takanonis	0	NA	NA	NA	NA	NA	NA	99
Cigaritis zohra	2	237.157303	281.114088464646	113.581402424155	19	-0.387006891326238	0.19	99
Cirrochroa aoris	2	129.876	281.791298848485	104.550911647377	1	-1.45302701291458	0.01	99
Cirrochroa orissa	1	NA	NA	NA	NA	NA	NA	99
Cissia confusa	4	208.707128333333	278.869254789562	72.1207797047866	1	-0.972842040025428	0.01	99
Cissia labe	1	NA	NA	NA	NA	NA	NA	99
Cissia myncea	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
