"PD"	"SR"
"Drephalys kidonoi"	0	0
"Drupadia ravindra"	560.008334	3
"Dryadula phaetusa"	325.050658	1
"Dryas iulia"	325.050658	1
"Dubiella dubius"	0	0
"Dulcedo polita"	325.050282	1
"Durbania amakosa"	0	0
"Durbaniella clarki"	0	0
"Durbaniopsis saga"	0	0
"Dymasia dymas"	325.049922	1
"Dynamine postverta"	325.050651	1
"Dynastor darius"	325.051232	1
"Dyscophellus porcius"	0	0
"Eagris sabadius"	509.226384	3
"Eantis mithridates"	325.049924	1
"Eantis thraso"	0	0
"Ebusus ebusus"	325.050282	1
"Echinargus isola"	325.050502	1
"Eetion elia"	0	0
"Elbella iphinous"	0	0
"Elbella patrobas"	325.050645	1
"Elbella scylla"	443.6292	2
"Elina montrolii"	325.050732	1
"Elodina padusa"	325.050465	1
"Elymnias hypermnestra"	325.050282	1
"Elymnias nesaea"	325.050282	1
"Elymniopsis bammakoo"	0	0
"Elzunia pavonii"	0	0
"Emesis ares"	325.050512	1
"Emesis brimo"	325.050522	1
"Emesis cypria"	325.050792	1
"Emesis emesia"	325.050502	1
"Emesis lacrines"	630.613361	4
"Emesis lucinda"	325.050302	1
"Emesis mandana"	1195.129093	9
"Emesis ocypore"	325.050792	1
"Emesis tegula"	325.050302	1
"Emesis tenedia"	325.050792	1
"Emesis zela"	0	0
"Eogenes alcides"	0	0
"Eooxylides tharis"	325.050682	1
"Epargyreus clarus"	325.050502	1
"Epargyreus spanna"	0	0
"Ephyriades arcas"	567.36434	3
"Ephyriades brunnea"	440.836947	2
"Epiphile orea"	325.050844	1
"Episcada salvinia"	325.050802	1
"Epitola urania"	0	0
"Epityches eupompe"	325.050802	1
"Eracon paulinus"	0	0
"Erebia epiphron"	325.050732	1
"Erebia ligea"	418.872232	2
"Eretris porphyria"	0	0
"Erikssonia acraeina"	325.050705	1
"Erionota acroleucus"	325.050282	1
"Erionota thrax"	642.926142	5
"Eroessa chiliensis"	0	0
"Eronia cleodora"	391.686565	2
"Erora quaderna"	436.199172	2
"Erynnis brizo"	325.050512	1
"Erynnis horatius"	437.752012	2
"Erynnis tages"	448.784712	2
"Eryphanis automedon"	325.050732	1
"Erysichton lineata"	579.110154	3
"Eteona tisiphone"	0	0
"Etesiolaus catori"	325.050494	1
"Euapatura mirza"	0	0
"Euaspa milionia"	325.050512	1
"Eucheira socialis"	0	0
"Euchloe ausonia"	325.050395	1
"Euchloe ausonides"	325.050395	1
"Euchrysops cnejus"	325.050502	1
"Eueides isabella"	325.050658	1
"Euliphyra hewitsoni"	0	0
"Eumaeus atala"	472.8734	2
"Eumaeus minyas"	325.0504	1
"Eumedonia eumedon"	325.050402	1
"Eunica monima"	404.968324	2
"Euphaedra neophron"	325.050844	1
"Euphilotes enoptes"	325.050152	1
"Euphydryas editha"	414.470472	3
"Euphyes arpa"	325.050282	1
"Euphyes dion"	325.050752	1
"Euploea phaenareta"	448.785462	2
"Euploea radamanthus"	0	0
"Euptoieta claudia"	1281.358078	10
"Euptychoides eugenia"	0	0
"Eurema mandarina"	437.752352	2
"Eurema mexicana"	325.050502	1
"Euriphellus euribates"	325.0502	1
"Euriphene amicia"	0	0
"Euripus nyctelius"	325.050872	1
"Euryades corethrus"	325.05077	1
"Eurybia lycisca"	325.050952	1
"Eurytela dryope"	671.623043	4
"Eurytides dioxippus"	0	0
"Eurytides dolicaon"	325.05054	1
"Eurytides marcellus"	325.05054	1
"Eurytides philolaus"	325.05054	1
"Euschemon rafflesia"	325.050763	1
"Euselasia chrysippe"	325.050735	1
"Euthalia evelina"	683.148992	4
"Euthalia lubentina"	325.050922	1
"Euthaliopsis aetion"	325.050687	1
"Eutresis hypereia"	0	0
"Euxanthe eurinome"	443.629754	2
"Evena crithea"	448.785144	2
"Evenus regalis"	325.050494	1
"Exometoeca nycteris"	0	0
"Exoplisia cadmeis"	325.050645	1
"Falga jeconia"	0	0
"Faunis eumeus"	561.699932	3
"Feniseca tarquinius"	0	0
"Flos apidanus"	515.008885	3
"Forsterinaria pronophila"	0	0
"Fountainea nessus"	325.050262	1
"Fresna netopha"	325.050844	1
"Fresna nyassae"	325.050502	1
"Freyeria trochylus"	564.570847	3
"Gamia buchholzi"	439.650792	2
"Gamia shelleyi"	439.650792	2
"Gandaca harina"	576.749531	3
"Gangara thyrsis"	423.259982	2
"Ganyra josephina"	384.526165	2
"Ganyra phaloe"	0	0
"Gegenes pumilio"	325.050732	1
"Geitoneura klugii"	325.050732	1
"Gerosis bhagava"	0	0
"Gesta gesta"	325.050502	1
"Gideona lucasi"	0	0
"Glabroculus cyane"	325.050352	1
"Glaucopsyche lygdamus"	325.050502	1
"Glennia pylotis"	0	0
"Glutophrissa drusilla"	541.383524	4
"Gnophodes betsimena"	325.050732	1
"Godyris duillia"	0	0
"Gomalia elma"	325.050645	1
"Gonepteryx rhamni"	424.012652	2
"Gonerilia seraphim"	325.050508	1
"Grais stigmaticus"	0	0
"Graphium agamemnon"	433.43054	2
"Graphium evemon"	460.963092	2
"Graphium sarpedon"	669.036903	4
"Greta morgane"	325.050802	1
"Gretna cylinda"	325.050952	1
"Gunayan rubricollis"	0	0
"Gyrocheilus patrobas"	0	0
"Habrodais grunus"	325.050512	1
"Hades noctula"	325.049505	1
"Haematera pyrame"	325.050844	1
"Haetera piera"	0	0
"Halotus rica"	0	0
"Halpe porus"	325.050732	1
"Hamadryas amphinome"	448.784971	2
"Hamanumida daedalus"	584.697245	3
"Hamearis lucina"	325.050484	1
"Harma theobene"	509.413498	3
"Hasora badra"	325.050502	1
"Hasora chromus"	628.694583	4
"Hayashikeia courvoisieri"	0	0
"Hebomoia glaucippe"	407.552165	3
"Helias phalaenoides"	0	0
"Heliconius atthis"	0	0
"Heliconius besckei"	325.050658	1
"Heliconius charithonia"	325.050658	1
"Heliconius cydno"	325.050658	1
"Heliconius eleuchia"	0	0
"Heliconius elevatus"	0	0
"Heliconius erato"	325.050658	1
"Heliconius ethilla"	325.050658	1
"Heliconius hecale"	325.050658	1
"Heliconius hermathena"	325.050658	1
"Heliconius heurippa"	325.050658	1
"Heliconius hewitsoni"	0	0
"Heliconius himera"	325.050658	1
"Heliconius hortense"	0	0
"Heliconius ismenius"	325.050658	1
"Heliconius melpomene"	325.050658	1
"Heliconius numata"	325.050658	1
"Heliconius pardalinus"	325.050658	1
"Heliconius ricini"	325.050658	1
"Heliconius sapho"	325.050658	1
"Heliconius sara"	325.050658	1
"Heliconius timareta"	0	0
"Heliconius wallacei"	325.050658	1
"Heliconius xanthocles"	325.050658	1
"Helicopis cupido"	0	0
"Heliopetes ericetorum"	325.050645	1
"Heliophorus epicles"	325.050152	1
"Heliopyrgus domicella"	0	0
"Hemiolaus caeculus"	325.050922	1
"Heraclides aristodemus"	325.049924	1
"Heraclides cresphontes"	325.049924	1
"Heraclides thoas"	460.962694	2
"Herimosa albovenata"	325.050732	1
"Hermeuptychia hermes"	325.050732	1
"Hermeuptychia sosybius"	325.050732	1
"Herona marathus"	325.050872	1
"Hesperia comma"	554.630612	3
"Hesperia meskei"	325.050732	1
"Hesperilla ornata"	325.050752	1
"Hesperocharis marchalii"	325.050395	1
"Hesperopsis alpheus"	325.050352	1
"Hestina assimilis"	325.050872	1
"Hestinalis nama"	325.050262	1
"Hestina persimilis"	325.050872	1
"Heteronympha merope"	418.872232	2
"Heteropterus morpheus"	418.872232	2
"Heterosais nephele"	0	0
"Hewitsonia intermedia"	0	0
"Hewitsoniella migonitis"	0	0
"Hidari irava"	431.784452	2
"Hipparchia senthes"	0	0
"Historis odius"	325.050262	1
"Horaga onyx"	695.328373	4
"Howarthia caelestis"	325.050542	1
"Hyarotis adrastus"	325.050282	1
"Hylephila phyleus"	325.050732	1
"Hypanartia lethe"	398.519362	2
"Hypaurotis crysalus"	325.050512	1
"Hypermnestra helios"	325.050902	1
"Hyphilaria thasus"	325.050532	1
"Hypna clytemnestra"	325.050651	1
"Hypochrysops polycletus"	325.050687	1
"Hypoleria lavinia"	325.050802	1
"Hypoleucis tripunctata"	325.050972	1
"Hypolimnas anthedon"	448.784582	2
"Hypolimnas bolina"	1194.416365	10
"Hypolimnas misippus"	832.510695	7
"Hypolycaena phorbas"	1435.171284	11
"Hypolycaena sipylus"	448.785235	2
"Hyponephele lycaon"	325.050732	1
"Hypothyris euclea"	325.050802	1
"Hypsochila wagenknechti"	325.050395	1
"Iambrix salsala"	325.050732	1
"Idea leuconoe"	325.050552	1
"Ideopsis gaura"	325.050552	1
"Ideopsis vitrea"	431.792022	2
"Inbio hilara"	325.050732	1
"Iolana iolas"	325.050502	1
"Iolaus bellina"	0	0
"Iophanus pyrrhias"	0	0
"Iphiclides podalirius"	325.050892	1
"Ipidecla miadora"	325.050502	1
"Iraota rochana"	325.050862	1
"Iratsume orsedice"	447.456212	2
"Iridana perdita"	0	0
"Isma bononia"	325.050732	1
"Isoteinon lamprospilus"	325.050732	1
"Issoria baumanni"	325.050678	1
"Issoria lathonia"	677.272748	4
"Ithomia drymo"	325.050802	1
"Ithomia patilla"	325.050802	1
"Ixias pyrene"	325.050465	1
"Jacoona anasuja"	325.050922	1
"Jalmenus evagoras"	325.050502	1
"Jameela palmyra"	325.050922	1
"Jamides bochus"	325.050502	1
"Japonica saepestriata"	325.050512	1
"Jemadia pseudognetus"	325.050763	1
"Jonaspyge aesculapus"	0	0
"Juditha caucana"	564.570767	3
"Junea doraete"	0	0
"Junonia coenia"	557.778642	6
"Junonia natalica"	372.321322	2
"Kallima limborgii"	325.049922	1
"Kallima paralekta"	325.049922	1
"Kallimoides rumia"	0	0
"Kaniska canace"	380.626882	2
"Kedestes barberae"	325.050732	1
"Kirinia epimenides"	0	0
"Kisutam syllis"	0	0
"Kolana ligurina"	0	0
"Kretania psylorita"	325.050502	1
"Kricogonia lyside"	325.050902	1
"Lachnocnema bibulus"	0	0
"Lachnoptera ayresii"	419.915951	2
"Laeosopis roboris"	325.050562	1
"Lampides boeticus"	325.050502	1
"Lamprolenis nitida"	0	0
"Lamproptera curius"	325.05036	1
"Lamproptera meges"	325.05036	1
"Laothus barajo"	325.050272	1
