Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.3sources	Num.families.3sources	mpd.obs.3sources	mpd.rand.mean.3sources	mpd.rand.sd.3sources	mpd.obs.rank.3sources	mpd.obs.z.3sources	mpd.obs.p.3sources	mntd.obs.3sources	mntd.rand.mean.3sources	mntd.rand.sd.3sources	mntd.obs.rank.3sources	mntd.obs.z.3sources	mntd.obs.p.3sources
BN006514_LEP33725_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_marnas	Hesperiidae	Arrhenes marnas	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174564_X_Hesperiidae_Pyrginae_Carcharodini_Arteurotia_tractipennis	Hesperiidae	Arteurotia tractipennis	325.050651	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003565_LEP61210_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_comus	Hesperiidae	Artitropa comus	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN006072_KA18141ABRI_Hesperiidae_Hesperiinae_Astictopterini_Artitropa_erinnys	Hesperiidae	Artitropa erinnys	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050132	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000142_LEP46510_Hesperiidae_Hesperiinae_Hesperiini_Asbolis_capucinus	Hesperiidae	Asbolis capucinus	325.050282	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050282	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN004759_EBMGCLHESP0010_Hesperiidae_Pyrrhopyginae_Passovini_Aspitha_aspitha	Hesperiidae	Aspitha aspitha	325.050844	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000145_MY2016HES63_Hesperiidae_Hesperiinae_Astictopterini_Astictopterus_jama	Hesperiidae	Astictopterus jama	431.785122	2	213.46856	262.9013402	71.97461645	4	-0.686808526	0.04	213.46856	273.218554	98.9559012	7	-0.603804253	0.07	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174510_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_alector	Hesperiidae	Astraptes alector	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174509_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_anaphus	Hesperiidae	Astraptes anaphus	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174545_X_Hesperiidae_Eudaminae_Eudamini_Astraptes_enotrus	Hesperiidae	Astraptes enotrus	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000153_LEP39479_Hesperiidae_Eudaminae_Eudamini_Telegonus_talus	Hesperiidae	Astraptes talus	522.778164	3	210.871048	264.9299022	71.41721263	4	-0.75694433	0.04	184.5839273	253.3506043	48.85519486	2	-1.407561204	0.02	443.629764	2	237.158172	284.2992026	115.159659	22	-0.409353683	0.22	237.158172	271.1134233	90.18883507	23	-0.37649063	0.23
BN000154_LEP40074_Hesperiidae_Hesperiinae_Hesperiini_Atalopedes_campestris	Hesperiidae	Atalopedes campestris	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000155_188_Hesperiidae_Pyrginae_Achlyodini_Atarnes_sallei	Hesperiidae	Atarnes sallei	325.05054	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003590_LEP61235_Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos	Hesperiidae	Atrytone arogos	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174423_X_Hesperiidae_Hesperiinae_Hesperiini_Atrytonopsis_hianna	Hesperiidae	Atrytonopsis hianna	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003436_LEP59345_Hesperiidae_Eudaminae_Entheini_Augiades_crinisus	Hesperiidae	Augiades crinisus	325.050484	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174389_X_Hesperiidae_Eudaminae_Eudamini_Telegonus_cellus	Hesperiidae	Autochton cellus	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000162_MY2016HES22_Hesperiidae_Coeliadinae_X_Badamia_exclamationis	Hesperiidae	Badamia exclamationis	638.38437	4	228.1791507	262.0768727	51.56609556	5	-0.657364528	0.05	189.599384	250.2831913	44.46512339	6	-1.364750679	0.06	567.36381	3	244.0319053	277.8535968	82.29575425	25	-0.410977356	0.25	240.5946597	244.786413	36.64867267	40	-0.114376675	0.4
BN000165_MY2016HES16_Hesperiidae_Hesperiinae_Baorini_Baoris_farri_farri	Hesperiidae	Baoris farri	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000166_DL11Q040_Hesperiidae_Hesperiinae_Baorini_Baoris_oceia	Hesperiidae	Baoris oceia	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN007111_LEP79327_Hesperiidae_Hesperiinae_Aeromachini_Baracus_vittatus	Hesperiidae	Baracus vittatus	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003775_DL03X004_Hesperiidae_Coeliadinae_X_Bibasis_sena	Hesperiidae	Bibasis sena	567.36355	3	244.031732	268.6242672	71.5817044	32	-0.34355895	0.32	240.594573	258.7008674	48.73261939	26	-0.371543633	0.26	443.6292	2	237.157608	281.1301491	104.2660134	14	-0.421734175	0.14	237.157608	264.0568279	72.83898333	16	-0.369297026	0.16
BN000170_BNSZS00335_Hesperiidae_Hesperiinae_Baorini_Borbo_borbonica	Hesperiidae	Borbo borbonica	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000171_MY2016HES41_Hesperiidae_Hesperiinae_Baorini_Borbo_cinnara	Hesperiidae	Borbo cinnara	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000182_LEP28822_Hesperiidae_Eudaminae_Phocidini_Bungalotis_astylos	Hesperiidae	Bungalotis astylos	325.050262	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174382_X_Hesperiidae_Eudaminae_Phocidini_Bungalotis_erythus	Hesperiidae	Bungalotis erythus	325.050262	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000189_MY2016HES43_Hesperiidae_Coeliadinae_X_Burara_harisa	Hesperiidae	Burara harisa	567.550842	3	252.17248	271.345726	75.93353683	37	-0.252500369	0.37	232.82781	257.5331615	58.89212154	25	-0.419501808	0.25	460.809112	2	271.51699	291.0121061	123.7237351	66	-0.157569735	0.66	271.51699	271.3024491	90.51573371	70.5	0.002370206	0.705
BN000193_LEP37047_Hesperiidae_Coeliadinae_X_Burara_oedipodea	Hesperiidae	Burara oedipodea	443.6292	2	237.157608	270.9044135	90.44484214	11	-0.373120288	0.11	237.157608	275.1087743	97.95716845	15	-0.387426126	0.15	443.6292	2	237.157608	281.1301491	104.2660134	14	-0.421734175	0.14	237.157608	264.0568279	72.83898333	16	-0.369297026	0.16
