PD	SR
Diaethria clymena	443.629925	2
Dianesia carteri	0	0
Dichorragia nesimachus	325.050662	1
Dilipa morgiana	0	0
Dingana dingana	325.050732	1
Dione juno	325.050658	1
Dira clytus	325.050732	1
Dircenna jemina	0	0
Discolampa ethion	325.050852	1
Discophora celinde	0	0
Dismorphia theucharila	325.050502	1
Dispar compacta	439.651242	2
Dixeia charina	325.050465	1
Dixeia doxo	325.050465	1
Dodona deodata	325.050484	1
Doleschallia bisaltide	517.296632	3
Doleschallia polibete	325.049922	1
Doxocopa agathina	0	0
Drephalys kidonoi	0	0
Drupadia ravindra	443.629754	2
Dryadula phaetusa	325.050658	1
Dryas iulia	325.050658	1
Dubiella dubius	0	0
Dulcedo polita	325.050282	1
Durbania amakosa	0	0
Durbaniella clarki	0	0
Durbaniopsis saga	0	0
Dymasia dymas	325.049922	1
Dynamine postverta	325.050651	1
Dynastor darius	325.051232	1
Dyscophellus porcius	0	0
Eagris sabadius	509.226384	3
Eantis mithridates	325.049924	1
Eantis thraso	0	0
Ebusus ebusus	0	0
Echinargus isola	325.050502	1
Eetion elia	0	0
Elbella iphinous	0	0
Elbella patrobas	0	0
Elbella scylla	325.050687	1
Elina montrolii	0	0
Elodina padusa	325.050465	1
Elymnias hypermnestra	325.050282	1
Elymnias nesaea	325.050282	1
Elymniopsis bammakoo	0	0
Elzunia pavonii	0	0
Emesis ares	0	0
Emesis brimo	0	0
Emesis cypria	325.050792	1
Emesis emesia	325.050502	1
Emesis lacrines	325.050667	1
Emesis lucinda	0	0
Emesis mandana	663.672974	4
Emesis ocypore	0	0
Emesis tegula	0	0
Emesis tenedia	325.050792	1
Emesis zela	0	0
Eogenes alcides	0	0
Eooxylides tharis	325.050682	1
Epargyreus clarus	325.050502	1
Epargyreus spanna	0	0
Ephyriades arcas	567.36434	3
Ephyriades brunnea	325.050687	1
Epiphile orea	325.050844	1
Episcada salvinia	0	0
Epitola urania	0	0
Epityches eupompe	325.050802	1
Eracon paulinus	0	0
Erebia epiphron	325.050732	1
Erebia ligea	418.872232	2
Eretris porphyria	0	0
Erikssonia acraeina	0	0
Erionota acroleucus	325.050282	1
Erionota thrax	588.254732	4
Eroessa chiliensis	0	0
Eronia cleodora	391.686565	2
Erora quaderna	325.050512	1
Erynnis brizo	325.050512	1
Erynnis horatius	437.752012	2
Erynnis tages	448.784712	2
Eryphanis automedon	0	0
Erysichton lineata	579.110154	3
Eteona tisiphone	0	0
Etesiolaus catori	325.050494	1
Euapatura mirza	0	0
Euaspa milionia	0	0
Eucheira socialis	0	0
Euchloe ausonia	325.050395	1
Euchloe ausonides	325.050395	1
Euchrysops cnejus	325.050502	1
Eueides isabella	325.050658	1
Euliphyra hewitsoni	0	0
Eumaeus atala	325.0504	1
Eumaeus minyas	0	0
Eumedonia eumedon	325.050402	1
Eunica monima	404.968324	2
Euphaedra neophron	325.050844	1
Euphilotes enoptes	325.050152	1
Euphydryas editha	377.982472	2
Euphyes arpa	325.050282	1
Euphyes dion	325.050752	1
Euploea phaenareta	325.050552	1
Euploea radamanthus	0	0
Euptoieta claudia	1105.553498	8
Euptychoides eugenia	0	0
Eurema mandarina	437.752352	2
Eurema mexicana	325.050502	1
Euriphellus euribates	0	0
Euriphene amicia	0	0
Euripus nyctelius	325.050872	1
Euryades corethrus	325.05077	1
Eurybia lycisca	325.050952	1
Eurytela dryope	443.629903	2
Eurytides dioxippus	0	0
Eurytides dolicaon	0	0
Eurytides marcellus	325.05054	1
Eurytides philolaus	325.05054	1
Euschemon rafflesia	325.050763	1
Euselasia chrysippe	325.050735	1
Euthalia evelina	683.148992	4
Euthalia lubentina	325.050922	1
Euthaliopsis aetion	0	0
Eutresis hypereia	0	0
Euxanthe eurinome	325.050844	1
Evena crithea	448.785144	2
Evenus regalis	325.050494	1
Exometoeca nycteris	0	0
Exoplisia cadmeis	0	0
Falga jeconia	0	0
Faunis eumeus	561.699932	3
Feniseca tarquinius	0	0
Flos apidanus	418.370185	2
Forsterinaria pronophila	0	0
Fountainea nessus	325.050262	1
Fresna netopha	0	0
Fresna nyassae	325.050502	1
Freyeria trochylus	448.784812	2
Gamia buchholzi	439.650792	2
Gamia shelleyi	439.650792	2
Gandaca harina	325.050852	1
Gangara thyrsis	423.259982	2
Ganyra josephina	325.050465	1
Ganyra phaloe	0	0
Gegenes pumilio	325.050732	1
Geitoneura klugii	325.050732	1
Gerosis bhagava	0	0
Gesta gesta	325.050502	1
Gideona lucasi	0	0
Glabroculus cyane	325.050352	1
Glaucopsyche lygdamus	325.050502	1
Glennia pylotis	0	0
Glutophrissa drusilla	443.629524	2
Gnophodes betsimena	325.050732	1
Godyris duillia	0	0
Gomalia elma	325.050645	1
Gonepteryx rhamni	325.050852	1
Gonerilia seraphim	0	0
Grais stigmaticus	0	0
Graphium agamemnon	433.43054	2
Graphium evemon	0	0
Graphium sarpedon	560.656903	3
Greta morgane	325.050802	1
Gretna cylinda	325.050952	1
Gunayan rubricollis	0	0
Gyrocheilus patrobas	0	0
Habrodais grunus	325.050512	1
Hades noctula	325.049505	1
Haematera pyrame	325.050844	1
Haetera piera	0	0
Halotus rica	0	0
Halpe porus	325.050732	1
Hamadryas amphinome	325.050651	1
Hamanumida daedalus	325.050105	1
Hamearis lucina	325.050484	1
Harma theobene	509.413498	3
Hasora badra	325.050502	1
Hasora chromus	628.694583	4
Hayashikeia courvoisieri	0	0
Hebomoia glaucippe	407.552165	3
Helias phalaenoides	0	0
Heliconius atthis	0	0
