Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD,host_families
79,B_9255,Lycaenidae,Theclinae,Loxurini,Loxura,atymnus,Loxura atymnus,1,325.049505,87.6679,87.6679,-2.205113045,-1.97275177,Anacardiaceae
80,B_6943,Lycaenidae,Theclinae,Amblypodiini,Iraota,timoleon,Iraota timoleon,1,325.050862,84.9278,84.9278,-1.656879167,-2.994635875,Moraceae
81,B_9150,Lycaenidae,Theclinae,Iolaini,Iolaus,sidus,Iolaus sidus,1,325.050922,94.848,94.848,-1.731836803,-1.637203363,Loranthaceae
82,B_6937,Lycaenidae,Theclinae,Amblypodiini,Amblypodia,narada,Amblypodia narada,1,325.050862,84.9278,84.9278,-1.656879167,-2.994635875,Moraceae
83,B_7553,Lycaenidae,Theclinae,Cheritrini,Dapidodigma,hymen,Dapidodigma hymen,5,796.083916,241.6570002,230.407245,-0.536840331,-0.069615119,Lecythidaceae Fabaceae Rubiaceae Myrtaceae Sapindaceae
84,B_9686,Lycaenidae,Theclinae,Zesiusini,Zesius,chrysomallus,Zesius chrysomallus,8,1136.183904,244.5388986,223.2146318,-0.571010157,-0.110800067,Fabaceae Smilacaceae Malvaceae Combretaceae Myrtaceae Oxalidaceae Loranthaceae Anacardiaceae
85,B_7542,Lycaenidae,Theclinae,Catapaecilmatini,Catapaecilma,major,Catapaecilma major,2 8,443.629365 1048.6236,237.157773 226.4569555,237.157773 192.6570028,-1.379920911,-1.715538514,Combretaceae Rhamnaceae Fagaceae Euphorbiaceae Phyllanthaceae Combretaceae Lythraceae Myrtaceae Cannabaceae Rhamnaceae
86,B_7619,Lycaenidae,Theclinae,Deudorigini,Deudorix,epijarbas,Deudorix epijarbas,2,460.809285,271.517133,271.517133,-0.073078854,0.020132987,Pandaceae Pandanaceae
87,B_9246,Lycaenidae,Theclinae,Loxurini,Drina,cowani,Drina cowani,1,325.049505,87.6679,87.6679,-2.205113045,-1.97275177,Anacardiaceae
88,B_8180,Lycaenidae,Theclinae,Eumaeini,Eumaeus,atala,Eumaeus atala,2,460.809755,271.517133,271.517133,0.044189294,0.027532103,Malvaceae Bromeliaceae
89,B_5444,Lycaenidae,Polyommatinae,Polyommatini,Lepidochrysops,patricia,Lepidochrysops patricia,6,711.938111,194.8560758,149.9510313,-1.375642195,-2.844380376,Fabaceae Acanthaceae Lamiaceae Linderniaceae Verbenaceae Acanthaceae Oxalidaceae
90,B_9664,Lycaenidae,Theclinae,Tomarini,Tomares,ballus,Tomares ballus,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
91,B_9473,Lycaenidae,Theclinae,Theclini,Artopoetes,pryeri,Artopoetes pryeri,1,325.050512,80.4628,80.4628,-2.057024672,-2.90510324,Fagaceae
92,B_7518,Lycaenidae,Theclinae,Arhopalini,Semanga,superba,Semanga superba,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
93,B_7516,Lycaenidae,Theclinae,Arhopalini,Neomyrina,nivea,Neomyrina nivea,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
94,B_7418,Lycaenidae,Theclinae,Arhopalini,Arhopala,micale,Arhopala micale,1,325.050502,192,192,-0.773400109,-0.886740072,Fabaceae
95,B_9431,Lycaenidae,Theclinae,Ogyrini,Ogyris,amaryllis,Ogyris amaryllis,1,325.050922,94.848,94.848,-1.731836803,-1.637203363,Loranthaceae
