Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged
162,B_2559,Hesperiidae,Hesperiinae,incertae sedis,Osmodes,thora,Osmodes thora
163,,Hesperiidae,Hesperiinae,incertae sedis,Lepella,lepeletier,Lepella lepeletier
164,B_679,Hesperiidae,Hesperiinae,Aeromachini,Halpe,porus,Halpe porus
165,B_4318,Hesperiidae,Trapezitinae,0,Trapezites,petalia,Trapezites petalia
166,B_2974,Hesperiidae,Heteropterinae,0,Piruna,pirus,Piruna pirus
167,B_2927,Hesperiidae,Heteropterinae,0,Heteropterus,morpheus,Heteropterus morpheus
168,B_2984,Hesperiidae,Pyrginae,Achlyodini,Achlyodes,busirus,Achlyodes busirus
169,B_3268,Hesperiidae,Pyrginae,Carcharodini,Spialia,dromus,Spialia dromus
170,B_3845,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,communis,Pyrgus communis
171,B_3653,Hesperiidae,Pyrginae,Erynnini,Erynnis,tristis,Erynnis tristis
172,B_4000,Hesperiidae,Pyrginae,Pyrrhopygini,Passova,gellias,Passova gellias
173,B_3379,Hesperiidae,Pyrginae,Celaenorrhinini,Apallaga,galenus,Apallaga galenus
174,B_4243,Hesperiidae,Pyrginae,Tagiadini,Tagiades,trebellius,Tagiades trebellius
175,B_334,Hesperiidae,Eudaminae,0,Epargyreus,clarus,Epargyreus clarus
176,B_580,Hesperiidae,Eudamiinae,0,Urbanus,proteus,Urbanus proteus
177,B_602,Hesperiidae,Euschemoninae,0,Euschemon,rafflesia,Euschemon rafflesia
178,B_77,Hesperiidae,Coeliadinae,0,Coeliades,forestan,Coeliades forestan
179,B_15,Hedylidae,,0,Macrosoma,hyacinthina,Macrosoma hyacinthina
180,B_33,Hedylidae,,0,Macrosoma,stabilinota,Macrosoma stabilinota
181,B_21,Hedylidae,,0,Macrosoma,leucoplethes,Macrosoma leucoplethes
182,B_16567,Papilionidae,Papilioninae,Troidini,Troides,helena,Troides helena
183,B_16542,Papilionidae,Papilioninae,Troidini,Parides,photinus,Parides photinus
184,B_16503,Papilionidae,Papilioninae,Troidini,Pachliopta,aristolochiae,Pachliopta aristolochiae
185,B_16494,Papilionidae,Papilioninae,Troidini,Battus,philenor,Battus philenor
186,B_16419,Papilionidae,Papilioninae,Papilionini,Papilio,xuthus,Papilio xuthus
187,B_16311,Papilionidae,Papilioninae,Papilionini,Papilio,deiphobus,Papilio deiphobus
188,B_16434,Papilionidae,Papilioninae,Papilionini,Pterourus,glaucus,Pterourus glaucus
189,B_16453,Papilionidae,Papilioninae,Teinopalpini,Teinopalpus,imperialis,Teinopalpus imperialis
190,B_16592,Papilionidae,Parnassiinae,Luehdorfiini,Luehdorfia,japonica,Luehdorfia japonica
191,B_16655,Papilionidae,Parnassinae,Sericinini,Zerynthia,cerisyi,Zerynthia cerisyi
192,B_16599,Papilionidae,Parnassiinae,Parnassiini,Parnassius,apollo,Parnassius apollo
193,B_16091,Papilionidae,Papilioninae,Leptocircini,Eurytides,marcellus,Eurytides marcellus
194,B_16103,Papilionidae,Papilioninae,Leptocircini,Graphium,agamemnon,Graphium agamemnon
195,B_16077,Papilionidae,Baroniinae,0,Baronia,brevicornis,Baronia brevicornis
