ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Cissia palladia	2	187.64298	287.314349030303	117.096181261083	2	-0.851192310089693	0.02	99
Cissia penelope	2	187.64298	287.314349030303	117.096181261083	2	-0.851192310089693	0.02	99
Citrinophila erastus	0	NA	NA	NA	NA	NA	NA	99
Cobalus calvina	1	NA	NA	NA	NA	NA	NA	99
Codatractus alcaeus	1	NA	NA	NA	NA	NA	NA	99
Codatractus arizonensis	1	NA	NA	NA	NA	NA	NA	99
Codatractus valeriana	1	NA	NA	NA	NA	NA	NA	99
Coeliades forestan	7	217.494470285714	230.081932509379	26.1310386429461	28	-0.481705392413215	0.28	99
Coeliades ramanatek	2	237.158542	293.231265767677	128.213647749011	28	-0.437338183197501	0.28	99
Coelites nothis	1	NA	NA	NA	NA	NA	NA	99
Coenonympha pamphilus	1	NA	NA	NA	NA	NA	NA	99
Coenyra hebe	1	NA	NA	NA	NA	NA	NA	99
Cogia calchas	1	NA	NA	NA	NA	NA	NA	99
Cogia hippalus	1	NA	NA	NA	NA	NA	NA	99
Colias croceus	1	NA	NA	NA	NA	NA	NA	99
Colias hyale	1	NA	NA	NA	NA	NA	NA	99
Colobura dirce	4	229.0800445	255.198545737374	46.1340458451256	23	-0.566143739594288	0.23	99
Colotis amata	3	95.4618333333333	251.331706811448	41.2316742673377	1	-3.78034305537743	0.01	99
Colotis evagore	1	NA	NA	NA	NA	NA	NA	99
Conga chydaea	1	NA	NA	NA	NA	NA	NA	99
Consul fabius	1	NA	NA	NA	NA	NA	NA	99
Copaeodes aurantiaca	1	NA	NA	NA	NA	NA	NA	99
Corades medeba	1	NA	NA	NA	NA	NA	NA	99
Coreana raphaelis	2	247.46917	275.19199730303	99.8428248076102	38	-0.277664693045796	0.38	99
Coreana stygiana	1	NA	NA	NA	NA	NA	NA	99
Corticea corticea	1	NA	NA	NA	NA	NA	NA	99
Creon cleobis	1	NA	NA	NA	NA	NA	NA	99
Creonpyge creon	1	NA	NA	NA	NA	NA	NA	99
Cressida cressida	1	NA	NA	NA	NA	NA	NA	99
Croitana croites	1	NA	NA	NA	NA	NA	NA	99
Croniades pieria	1	NA	NA	NA	NA	NA	NA	99
Crudaria leroma	1	NA	NA	NA	NA	NA	NA	99
Cunizza hirlanda	1	NA	NA	NA	NA	NA	NA	99
Cupha erymanthis	4	205.504995	249.375693161616	48.8864379823512	13	-0.897400178295957	0.13	99
Cupido comyntas	1	NA	NA	NA	NA	NA	NA	99
Cupido moorei	3	124.812123333333	250.871166232323	47.9142662081338	2	-2.63092921743609	0.02	99
Cupidopsis cissus	1	NA	NA	NA	NA	NA	NA	99
Cupidopsis jobates	1	NA	NA	NA	NA	NA	NA	99
Cupitha purreea	2	247.468463	266.759317040404	83.0384886624057	33	-0.232312200657111	0.33	99
Curetis bulis	2	237.158172	272.531985666667	98.6034488818797	21.5	-0.358748239212628	0.215	99
Curetis saronis	1	NA	NA	NA	NA	NA	NA	99
Curetis tagalica	1	NA	NA	NA	NA	NA	NA	99
Cyaniris semiargus	1	NA	NA	NA	NA	NA	NA	99
Cybdelis phaesyla	1	NA	NA	NA	NA	NA	NA	99
Cyclargus ammon	4	216.32473075	244.025666429293	37.3245207641287	17	-0.742164537204597	0.17	99
Cyclargus thomasi	2	237.158162	267.62844949495	91.5939724451289	23	-0.332666950472132	0.23	99
Cycloglypha thrasibulus	2	271.824982	273.354500393939	89.2992192011822	87	-0.0171280153132536	0.87	99
Cyclyrius webbianus	1	NA	NA	NA	NA	NA	NA	99
Cyllopsis pyracmon	1	NA	NA	NA	NA	NA	NA	99
Cymothoe lurida	3	182.909086666667	249.901618892256	45.8638724735653	5	-1.46068198371609	0.05	99
Cynandra opis	1	NA	NA	NA	NA	NA	NA	99
Cynea cynea	1	NA	NA	NA	NA	NA	NA	99
Cyrestis acilia	1	NA	NA	NA	NA	NA	NA	99
Cyrestis nivea	1	NA	NA	NA	NA	NA	NA	99
Dachetola azora	1	NA	NA	NA	NA	NA	NA	99
Daedalma dinias	1	NA	NA	NA	NA	NA	NA	99
