Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Gerosis bhagava,460.809012,2,271.51669,-0.204480413,271.51669,-0.073360632,5
Hesperiidae,Gesta gesta,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Gomalia elma,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Grais stigmaticus,325.049924,1,118,-1.841016096,118,-1.713297661,2
Hesperiidae,Gretna cylinda,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,8
Hesperiidae,Gunayan rubricollis,325.0502,1,54.482,-2.063227935,54.482,-2.37105666,7
Hesperiidae,Halotus rica,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Halpe porus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Hasora badra,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Hasora chromus,628.694583,4,231.2393793,-0.687845522,219.830344,-0.603615713,2
Hesperiidae,Helias phalaenoides,325.049924,1,118,-1.841016096,118,-1.713297661,2
Hesperiidae,Heliopetes ericetorum,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Heliopyrgus domicella,325.050645,1,76.7222,-2.394140677,76.7222,-1.80105635,13
Hesperiidae,Herimosa albovenata,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Hesperia comma,554.630612,3,243.5589933,-0.422702601,215.6009833,-0.689618725,8
Hesperiidae,Hesperia meskei,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Hesperilla ornata,325.050752,1,89.2401,-2.872645818,89.2401,-1.701793384,8
Hesperiidae,Hesperopsis alpheus,325.050352,1,87.3223,-2.053141496,87.3223,-1.935153911,1
Hesperiidae,Heteropterus morpheus,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,8
Hesperiidae,Hewitsoniella migonitis,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Hidari irava,431.784452,2,213.46789,-0.660387465,213.46789,-0.659605516,3
Hesperiidae,Hyarotis adrastus,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Hylephila phyleus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Hypoleucis tripunctata,325.050972,1,51.8437,-2.303016405,51.8437,-2.036770203,13
Hesperiidae,Iambrix salsala,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Isma bononia,325.050732,1,76.5949,-1.833974708,76.5949,-1.806016693,4
Hesperiidae,Isoteinon lamprospilus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Jemadia pseudognetus,325.050763,1,169.1905,-1.018220449,169.1905,-1.042107971,2
Hesperiidae,Jonaspyge aesculapus,325.050751,1,149.2627,-1.34958374,149.2627,-1.31120009,NA
Hesperiidae,Kedestes barberae,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Lepella lepeletier,431.785142,2,213.46848,-0.581284411,213.46848,-0.607744219,13
Hesperiidae,Leptalina unicolor,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
